,title,links,date,year,doctype,text
67,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/11/announcement-of-new-diplomatic-appointments.html,11/13/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Mark Berman becomes High Commissioner in the Cooperative Republic of Guyana and Representative to the Caribbean Community. Mr. Berman replaces Lilian Chatterjee.Christina Buchan becomes Ambassador to the Republic of Zimbabwe. Ms. Buchan replaces René Cremonese.Jeannette Menzies becomes Ambassador to the Republic of Iceland. Ms. Menzies replaces AnneTamara Lorre.Adrian Norfolk becomes Ambassador to the Republic of the Sudan. This is Canada`s first resident ambassador to Sudan.Giles Norman becomes Ambassador to the Republic of Serbia. Mr. Norman replaces Kati Csaba."
68,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/11/announcement-of-new-diplomatic-appointments.html,11/13/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Lilian Chatterjee becomes High Commissioner in Barbados. Ms. Chatterjee replaces Marie Legault.Rodger Cuzner becomes Consul General in Boston (United States of America). Mr. Cuzner replaces David Alward.Wendy Drukier becomes Ambassador to the Kingdom of Spain. Ms. Drukier replaces Matthew Levin.Alain Gendron becomes Ambassador to the Kingdom of Belgium. Mr. Gendron replaces Olivier Nicoloff. BenoîtPierre Laramée becomes Ambassador to the Democratic Republic of Congo. Mr. Laramée replaces Nicolas Simard.Isabelle Valois becomes Ambassador to the Eastern Republic of Uruguay. Ms. Valois replaces Joanne Frappier."
69,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/11/announcement-of-new-diplomatic-appointments.html,11/13/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Ailish Johnson Campbell to be Ambassador to the European Union, in Brussels. Ms. Johnson Campbell replaces Daniel Costello.Natasha Cayer becomes Ambassador and Permanent Delegate of Canada to the United Nations Educational, Scientific and Cultural Organization, in Paris. Ms. Cayer replaces Elaine Ayotte.Jenny Hill becomes Ambassador to the Republic of South Sudan. Ms. Hill replaces Douglas Scott Proudfoot.Jocelyn Kinnear becomes Ambassador and Permanent Representative of Canada to the Organization for Security and Cooperation in Europe, in Vienna. Ms. Kinnear replaces Natasha Cayer.Reid Sirrs becomes Ambassador to the Islamic Republic of Afghanistan. Mr. Sirrs replaces David Metcalfe."
70,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/11/announcement-of-new-diplomatic-appointments.html,11/13/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Behzad Babakhani becomes Consul General in Ho Chi Minh City (Socialist Republic of Vietnam). Mr. Babakhani replaces Kyle Nunas.Louis Dumas becomes Ambassador to the Arab Republic of Egypt. Mr. Dumas replaces Jess Dutton.Michael Gort becomes Ambassador to the Republic of Chile. Mr. Gort replaces Patricia Peña.Annick Goulet becomes Ambassador to Romania. Ms. Goulet replaces Kevin Hamilton.Christine Laberge becomes Ambassador to the Dominican Republic. Ms. Laberge replaces Shauna Hemingway.Denis Robert becomes Ambassador to the Kingdom of Denmark. Mr. Robert replaces Emi Furuya.Emina Tudakovic becomes High Commissioner in Jamaica. Ms. Tudakovic replaces Laurie Peters.David Verbiwski becomes Consul General in Rio de Janeiro (Federative Republic of Brazil). Mr. Verbiwski replaces Evelyne Coulombe."
71,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/11/announcement-of-new-diplomatic-appointments.html,11/13/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Sylvain Fabi becomes Consul General in Denver (United States of America). Mr. Fabi replaces Stéphane Lessard.André François Giroux becomes Consul General in Sydney (Australia). Mr. Giroux replaces Angela Bogdan."
72,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments0.html,10/30/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Mark Berman becomes High Commissioner in the Cooperative Republic of Guyana and Representative to the Caribbean Community. Mr. Berman replaces Lilian Chatterjee.Christina Buchan becomes Ambassador to the Republic of Zimbabwe. Ms. Buchan replaces René Cremonese.Jeannette Menzies becomes Ambassador to the Republic of Iceland. Ms. Menzies replaces AnneTamara Lorre.Adrian Norfolk becomes Ambassador to the Republic of the Sudan. This is Canada`s first resident ambassador to Sudan.Giles Norman becomes Ambassador to the Republic of Serbia. Mr. Norman replaces Kati Csaba."
73,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments0.html,10/30/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Lilian Chatterjee becomes High Commissioner in Barbados. Ms. Chatterjee replaces Marie Legault.Rodger Cuzner becomes Consul General in Boston (United States of America). Mr. Cuzner replaces David Alward.Wendy Drukier becomes Ambassador to the Kingdom of Spain. Ms. Drukier replaces Matthew Levin.Alain Gendron becomes Ambassador to the Kingdom of Belgium. Mr. Gendron replaces Olivier Nicoloff. BenoîtPierre Laramée becomes Ambassador to the Democratic Republic of Congo. Mr. Laramée replaces Nicolas Simard.Isabelle Valois becomes Ambassador to the Eastern Republic of Uruguay. Ms. Valois replaces Joanne Frappier."
74,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments0.html,10/30/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Ailish Johnson Campbell to be Ambassador to the European Union, in Brussels. Ms. Johnson Campbell replaces Daniel Costello.Natasha Cayer becomes Ambassador and Permanent Delegate of Canada to the United Nations Educational, Scientific and Cultural Organization, in Paris. Ms. Cayer replaces Elaine Ayotte.Jenny Hill becomes Ambassador to the Republic of South Sudan. Ms. Hill replaces Douglas Scott Proudfoot.Jocelyn Kinnear becomes Ambassador and Permanent Representative of Canada to the Organization for Security and Cooperation in Europe, in Vienna. Ms. Kinnear replaces Natasha Cayer.Reid Sirrs becomes Ambassador to the Islamic Republic of Afghanistan. Mr. Sirrs replaces David Metcalfe."
75,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments0.html,10/30/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Behzad Babakhani becomes Consul General in Ho Chi Minh City (Socialist Republic of Vietnam). Mr. Babakhani replaces Kyle Nunas.Louis Dumas becomes Ambassador to the Arab Republic of Egypt. Mr. Dumas replaces Jess Dutton.Michael Gort becomes Ambassador to the Republic of Chile. Mr. Gort replaces Patricia Peña.Annick Goulet becomes Ambassador to Romania. Ms. Goulet replaces Kevin Hamilton.Christine Laberge becomes Ambassador to the Dominican Republic. Ms. Laberge replaces Shauna Hemingway.Denis Robert becomes Ambassador to the Kingdom of Denmark. Mr. Robert replaces Emi Furuya.Emina Tudakovic becomes High Commissioner in Jamaica. Ms. Tudakovic replaces Laurie Peters.David Verbiwski becomes Consul General in Rio de Janeiro (Federative Republic of Brazil). Mr. Verbiwski replaces Evelyne Coulombe."
76,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments0.html,10/30/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Sylvain Fabi becomes Consul General in Denver (United States of America). Mr. Fabi replaces Stéphane Lessard.André François Giroux becomes Consul General in Sydney (Australia). Mr. Giroux replaces Angela Bogdan."
77,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments.html,10/17/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Mark Berman becomes High Commissioner in the Cooperative Republic of Guyana and Representative to the Caribbean Community. Mr. Berman replaces Lilian Chatterjee.Christina Buchan becomes Ambassador to the Republic of Zimbabwe. Ms. Buchan replaces René Cremonese.Jeannette Menzies becomes Ambassador to the Republic of Iceland. Ms. Menzies replaces AnneTamara Lorre.Adrian Norfolk becomes Ambassador to the Republic of the Sudan. This is Canada`s first resident ambassador to Sudan.Giles Norman becomes Ambassador to the Republic of Serbia. Mr. Norman replaces Kati Csaba."
78,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments.html,10/17/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Lilian Chatterjee becomes High Commissioner in Barbados. Ms. Chatterjee replaces Marie Legault.Rodger Cuzner becomes Consul General in Boston (United States of America). Mr. Cuzner replaces David Alward.Wendy Drukier becomes Ambassador to the Kingdom of Spain. Ms. Drukier replaces Matthew Levin.Alain Gendron becomes Ambassador to the Kingdom of Belgium. Mr. Gendron replaces Olivier Nicoloff. BenoîtPierre Laramée becomes Ambassador to the Democratic Republic of Congo. Mr. Laramée replaces Nicolas Simard.Isabelle Valois becomes Ambassador to the Eastern Republic of Uruguay. Ms. Valois replaces Joanne Frappier."
79,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments.html,10/17/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Ailish Johnson Campbell to be Ambassador to the European Union, in Brussels. Ms. Johnson Campbell replaces Daniel Costello.Natasha Cayer becomes Ambassador and Permanent Delegate of Canada to the United Nations Educational, Scientific and Cultural Organization, in Paris. Ms. Cayer replaces Elaine Ayotte.Jenny Hill becomes Ambassador to the Republic of South Sudan. Ms. Hill replaces Douglas Scott Proudfoot.Jocelyn Kinnear becomes Ambassador and Permanent Representative of Canada to the Organization for Security and Cooperation in Europe, in Vienna. Ms. Kinnear replaces Natasha Cayer.Reid Sirrs becomes Ambassador to the Islamic Republic of Afghanistan. Mr. Sirrs replaces David Metcalfe."
80,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments.html,10/17/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Behzad Babakhani becomes Consul General in Ho Chi Minh City (Socialist Republic of Vietnam). Mr. Babakhani replaces Kyle Nunas.Louis Dumas becomes Ambassador to the Arab Republic of Egypt. Mr. Dumas replaces Jess Dutton.Michael Gort becomes Ambassador to the Republic of Chile. Mr. Gort replaces Patricia Peña.Annick Goulet becomes Ambassador to Romania. Ms. Goulet replaces Kevin Hamilton.Christine Laberge becomes Ambassador to the Dominican Republic. Ms. Laberge replaces Shauna Hemingway.Denis Robert becomes Ambassador to the Kingdom of Denmark. Mr. Robert replaces Emi Furuya.Emina Tudakovic becomes High Commissioner in Jamaica. Ms. Tudakovic replaces Laurie Peters.David Verbiwski becomes Consul General in Rio de Janeiro (Federative Republic of Brazil). Mr. Verbiwski replaces Evelyne Coulombe."
81,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/10/announcement-of-new-diplomatic-appointments.html,10/17/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Sylvain Fabi becomes Consul General in Denver (United States of America). Mr. Fabi replaces Stéphane Lessard.André François Giroux becomes Consul General in Sydney (Australia). Mr. Giroux replaces Angela Bogdan."
82,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments0.html,9/29/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Mark Berman becomes High Commissioner in the Cooperative Republic of Guyana and Representative to the Caribbean Community. Mr. Berman replaces Lilian Chatterjee.Christina Buchan becomes Ambassador to the Republic of Zimbabwe. Ms. Buchan replaces René Cremonese.Jeannette Menzies becomes Ambassador to the Republic of Iceland. Ms. Menzies replaces AnneTamara Lorre.Adrian Norfolk becomes Ambassador to the Republic of the Sudan. This is Canada`s first resident ambassador to Sudan.Giles Norman becomes Ambassador to the Republic of Serbia. Mr. Norman replaces Kati Csaba."
83,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments0.html,9/29/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Lilian Chatterjee becomes High Commissioner in Barbados. Ms. Chatterjee replaces Marie Legault.Rodger Cuzner becomes Consul General in Boston (United States of America). Mr. Cuzner replaces David Alward.Wendy Drukier becomes Ambassador to the Kingdom of Spain. Ms. Drukier replaces Matthew Levin.Alain Gendron becomes Ambassador to the Kingdom of Belgium. Mr. Gendron replaces Olivier Nicoloff. BenoîtPierre Laramée becomes Ambassador to the Democratic Republic of Congo. Mr. Laramée replaces Nicolas Simard.Isabelle Valois becomes Ambassador to the Eastern Republic of Uruguay. Ms. Valois replaces Joanne Frappier."
84,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments0.html,9/29/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Ailish Johnson Campbell to be Ambassador to the European Union, in Brussels. Ms. Johnson Campbell replaces Daniel Costello.Natasha Cayer becomes Ambassador and Permanent Delegate of Canada to the United Nations Educational, Scientific and Cultural Organization, in Paris. Ms. Cayer replaces Elaine Ayotte.Jenny Hill becomes Ambassador to the Republic of South Sudan. Ms. Hill replaces Douglas Scott Proudfoot.Jocelyn Kinnear becomes Ambassador and Permanent Representative of Canada to the Organization for Security and Cooperation in Europe, in Vienna. Ms. Kinnear replaces Natasha Cayer.Reid Sirrs becomes Ambassador to the Islamic Republic of Afghanistan. Mr. Sirrs replaces David Metcalfe."
85,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments0.html,9/29/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Behzad Babakhani becomes Consul General in Ho Chi Minh City (Socialist Republic of Vietnam). Mr. Babakhani replaces Kyle Nunas.Louis Dumas becomes Ambassador to the Arab Republic of Egypt. Mr. Dumas replaces Jess Dutton.Michael Gort becomes Ambassador to the Republic of Chile. Mr. Gort replaces Patricia Peña.Annick Goulet becomes Ambassador to Romania. Ms. Goulet replaces Kevin Hamilton.Christine Laberge becomes Ambassador to the Dominican Republic. Ms. Laberge replaces Shauna Hemingway.Denis Robert becomes Ambassador to the Kingdom of Denmark. Mr. Robert replaces Emi Furuya.Emina Tudakovic becomes High Commissioner in Jamaica. Ms. Tudakovic replaces Laurie Peters.David Verbiwski becomes Consul General in Rio de Janeiro (Federative Republic of Brazil). Mr. Verbiwski replaces Evelyne Coulombe."
86,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments0.html,9/29/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Sylvain Fabi becomes Consul General in Denver (United States of America). Mr. Fabi replaces Stéphane Lessard.André François Giroux becomes Consul General in Sydney (Australia). Mr. Giroux replaces Angela Bogdan."
87,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments.html,9/1/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Mark Berman becomes High Commissioner in the Cooperative Republic of Guyana and Representative to the Caribbean Community. Mr. Berman replaces Lilian Chatterjee.Christina Buchan becomes Ambassador to the Republic of Zimbabwe. Ms. Buchan replaces René Cremonese.Jeannette Menzies becomes Ambassador to the Republic of Iceland. Ms. Menzies replaces AnneTamara Lorre.Adrian Norfolk becomes Ambassador to the Republic of the Sudan. This is Canada`s first resident ambassador to Sudan.Giles Norman becomes Ambassador to the Republic of Serbia. Mr. Norman replaces Kati Csaba."
88,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments.html,9/1/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Lilian Chatterjee becomes High Commissioner in Barbados. Ms. Chatterjee replaces Marie Legault.Rodger Cuzner becomes Consul General in Boston (United States of America). Mr. Cuzner replaces David Alward.Wendy Drukier becomes Ambassador to the Kingdom of Spain. Ms. Drukier replaces Matthew Levin.Alain Gendron becomes Ambassador to the Kingdom of Belgium. Mr. Gendron replaces Olivier Nicoloff. BenoîtPierre Laramée becomes Ambassador to the Democratic Republic of Congo. Mr. Laramée replaces Nicolas Simard.Isabelle Valois becomes Ambassador to the Eastern Republic of Uruguay. Ms. Valois replaces Joanne Frappier."
89,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments.html,9/1/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Ailish Johnson Campbell to be Ambassador to the European Union, in Brussels. Ms. Johnson Campbell replaces Daniel Costello.Natasha Cayer becomes Ambassador and Permanent Delegate of Canada to the United Nations Educational, Scientific and Cultural Organization, in Paris. Ms. Cayer replaces Elaine Ayotte.Jenny Hill becomes Ambassador to the Republic of South Sudan. Ms. Hill replaces Douglas Scott Proudfoot.Jocelyn Kinnear becomes Ambassador and Permanent Representative of Canada to the Organization for Security and Cooperation in Europe, in Vienna. Ms. Kinnear replaces Natasha Cayer.Reid Sirrs becomes Ambassador to the Islamic Republic of Afghanistan. Mr. Sirrs replaces David Metcalfe."
90,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments.html,9/1/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Behzad Babakhani becomes Consul General in Ho Chi Minh City (Socialist Republic of Vietnam). Mr. Babakhani replaces Kyle Nunas.Louis Dumas becomes Ambassador to the Arab Republic of Egypt. Mr. Dumas replaces Jess Dutton.Michael Gort becomes Ambassador to the Republic of Chile. Mr. Gort replaces Patricia Peña.Annick Goulet becomes Ambassador to Romania. Ms. Goulet replaces Kevin Hamilton.Christine Laberge becomes Ambassador to the Dominican Republic. Ms. Laberge replaces Shauna Hemingway.Denis Robert becomes Ambassador to the Kingdom of Denmark. Mr. Robert replaces Emi Furuya.Emina Tudakovic becomes High Commissioner in Jamaica. Ms. Tudakovic replaces Laurie Peters.David Verbiwski becomes Consul General in Rio de Janeiro (Federative Republic of Brazil). Mr. Verbiwski replaces Evelyne Coulombe."
91,Announcement of new diplomatic appointments,https://www.canada.ca/en/global-affairs/news/2020/09/announcement-of-new-diplomatic-appointments.html,9/1/20,2020, news releases," The Honourable FrançoisPhilippe Champagne, Minister of Foreign Affairs, today announced the following diplomatic appointments:Sylvain Fabi becomes Consul General in Denver (United States of America). Mr. Fabi replaces Stéphane Lessard.André François Giroux becomes Consul General in Sydney (Australia). Mr. Giroux replaces Angela Bogdan."
